Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
676,Country,Uruguay,uy011999,1999-10-31,Ineligibility of directors of autonomous entities and decentralised services for parliamentary membership,,,,,,,,,,,2402160,,2204681,0,0,839004,1365677,,,none,,,,,,Administrative Initiative (launched by part of the members of one chamber),,,,Administrative initiative according to article 331B of the Constitution. The initiative needed to be launched by 2/5 of the congress. In this case  20 Senators and 61 Representatives of all 130 members of the Congress. The adoption required the absolute majority of the votes cast and a minimum of 35% of the electorate. The vote was held together with the general elections. Whoever was in favour of the initiative submitted the pink ballot paper  while not submitting anything meant rejection. That way  blank and void votes could be prevented. The local ballot boxes were open from 8:00 until 19:30.      Proposal:   Articulo 201: Los miembros de los Directorios o Directores Generales de los Entes Autónomos y de los Servicios Descentralizados  no podrán ser candidatos a ningún cargo electivo. Esta prohibición será efectiva hasta transcurridos cuatro años desde su cese. Los organismos Electorales no registrarán listas en que figuren candidatos que no hayan cumplido con este requisito. Disposiciones Transitorias y Especiales Z bis. Si el plebiscito fuera proclamado affirmativo por resolución firme de la Corte Electoral  la presente reforma entrará en vigor a partir del 1. de junio del año 2000. ,"State organisation | Institutions | Parliament",91.78,2204681,38.06,61.94,no,
677,Country,Egypt,eg011999,1999-09-26,Hosni Mubarak for President,,,,,,,,,,,23934907,,18957893,,,17554856,1162525,,,none,,,,,,Mandatory Presidential Referendum,,,,Parliament appointed Hosni Mubarak for President for one more term on 2 June by 443:0 and 11 abstentions. The voting date was set by Mubarak himself by decree. The 41 000 polling booths were open from 8.00 to 17.00. All voting-papers had a portrait of Mubarak on them  a green voting paper for 'yes' and black for 'no'.,"State organisation | Institutions | Government, administration",79.21,18717381,93.79,6.21,yes,
678,Country,Tajikistan,tj011999,1999-09-26,Constitutional reform,,,,,,,,,,,2800947,,2591905,,,1860804,609787,,,none,,,,,,Mandatory Constitutional Referendum,,,,Already in 1997  the Civil War parties decided to amend the constitution of 1994. Due to the unsafe inner situation  the vote  originally planned to be held in the first half of 1998  was postponed several times. On 30 June the Parliament set the definite date for the vote  whereby a turnout of the majority of the electorate was required for the vote to be valid. Mandatory constitutional referendum according to Article 98 of the 1994 Constitution.      Main issues:       One single Presidential term of 7 years instead of 2 terms of 5 years     Permanent Parliament with 2 instead of 1 chamber     Readmission of religiously motivated political parties  The final result was announced on 4 October 1999 and on 6 November presidential elections were held.,"State organisation | Political system | Constitution",92.54,2470591,75.32,24.68,yes,
679,Country,Algeria,dz011999,1999-09-16,Amnesty law for guerillas,,,,,,,,,,,17512726,,14890895,,,14583075,202496,,,none,,,,,,Presidential plebiscite,,,,On 5 July (National Holiday)  President Boutelflika decided on an amnesty for all Islamist guerilla fighters and helpers whose 'hands were not blood-stained'  meaning those who had not committed murder  rape etc. The same day Parliament consented to the Algerian National Holiday and Bouteflika started to release the prisoners right away  before holding a referendum. On 1 August 1999 he signed a decree to hold a plebiscite  in which the electorate submitted blue ballot papers if in favour of adoption and white ones for its rejection.      Ballot question:   'Êtes-vous pour ou contre la démarche globale du Président de la République en vue de la réalisation de la paix et de la concorde civile?'  The referendum was held according to article 77(8) of the Constitution. Result of the Conseil Constitutionel announced between 17-19 September.,"State organisation | Legal system | Criminal law",85.03,14785571,98.63,1.37,yes,
680,Country,San Marino,sm011999,1999-09-12,Law on citizenship,,,,,,,,,,,30206,,16963,376,188,9327,7072,,,none,,,,,,Parliamentary plebiscite  binding,,,,On 16 June Parliament adopted a new law on citizenship and submitted it to a plebiscite.      Ballot question:   'Volete che entri in vigore la Legge 16 giugno 1999 n.66 'Legge sulla Cittadinanza' approvata dal Consiglio Grande e Generale nella seduta del 16 giugno 1999?'  Of the 30 206 registered voters in San Marino  18 876 live locally and 11 230 abroad. Adoption required the approval of at least 32% (9 666). Local polling booths were open from 7.00 to 20.00. Approved amendments      Children whose mother is from San Marino but is married to a foreigner have the opportunity to acquire citizenship at 18 years. (For children whose father is from San Marino and mother is a foreigner citizenship is automatic)     Foreign spouses only gain residency after marriage. (Previously women acquired citizenship after three years marriage  men did not)     Woman who acquired citizenship through marriage lose it five years after the dissolution of the marriage if she had citizenship from another country.     After coming of age  new citizens have one year to become registered in the Civil register. ,"State organisation | Legal system | Citizenship",56.16,16399,56.88,43.12,no,
681,Country,Timor-Leste,tl011999,1999-08-30,Special autonomy within Indonesia,,,,,,,,,,,451792,Not known,98 6%,,Not known,94388,344580,,,none,,,,,,Plebiscite  ad hoc (based on a Treaty concluded under UN supervision),,,,In September 1974 Portugal and Indonesia resolved that the East Timorese people should decide on their future themselves. Portugal wanted to establish the legal basis. While the Fretilin (Frente Revolucionária do Timor-Leste Independente; major East Timorese party) strived for independency  the UDT (União Democrática Timorense; Timor Democratic Union) contended for accession to Indonesia. With Portugal's acquiescence  the military of Indonesia intervened in the conflict in September 1975. As the Fretilin declared the independence of East Timor on 28 November 1975  Indonesian troops occupied the whole region and appointed an interim government. By Resolutions 384 (1975-12-22) and 389 (1976-4-22)  the UN called for East Timor's right to self-determination. On 31 May 1976 the interim government decided on accession to Indonesia and Portugal protested unsuccessfully. After President Suharto's resignation in June 1998  the question appeared on the agenda once again. Initially Indonesia rejected a popular vote and offered a little autonomy instead. Portugal and Indonesia concluded a Treaty on 5 May 1999 under UN supervision  which provided for a popular vote in East TImor on the status of autonomy or on independence.  Due to the unstable situation the vote was postponed first from 8 August  to 22 August and then to 30 August. Of the total 451 792 enfranchised citizens  13 279 were living in Australia  Indonesia  Portugal  Mozambique  Macao or the USA. Those eligible were older than 17 years of age  born in East Timor  had at least one East Timorese parent or who was at the very least married to a person of East Timorese descent. The 850 ballot boxes were opened from 06:30 until 16:00. A total of 5 300 persons were employed for the voting day and the costs amounted to US$53 million. Only results of from Timor-Leste as a whole were available  there were no voting details from the individual districts.           Ballot question (English  Bahasa Indonesia  Portugese and Tetun):        "Do you accept the proposed special autonomy for East Timor within the unitary state of the Republic of Indonesia or do you reject the proposed special autonomy  leading to East Timor's separation from Indonesia?"  Together with the ballot question  the Indonesian flag was pictured as the first option for a national flag and the flag of the National Council of Timorese Resistance for the second option. The Consulting People's Assembly in Jakarta ratified the result on 19 October and East Timor obtained independence as Timor Lorosae on 20 May 2002.,"State organisation | National identity | none",0,438968,21.5,78.5,no,
682,Country,Niger,ne011999,1999-07-18,Constitution,,,,,,,,,,,4231296,,1318563,,,1159632,134976,,,none,,,,,,Mandatory Constitutional Referendum,,,,In April the coup d'état of Major Daouda Malam Wanke ousted President Mainassara and started work on a new Constitution. Popular consultation was first set for June and then September. On 3 June  a constitutional commission approved the semi-presidential system by 41 votes to 38. A President was elected on 3 October and a Parliament on 14 November. The referendum took place as per article 137 of the new Constitution. Of the 9 351 voting booths only 9 013 were opened.,"State organisation | Political system | Constitution",31.16,1294608,89.57,10.43,yes,
683,Country,Micronesia  Federated States of,fm011999,1999-07-01,Sovereign ownership of each State over its natural resources including the sea,,,,,,,,,,,,,,,,,,Not known,Not known,none,,,,,,Popular initiative (to initiate a constitutional amendment),,,,Popular initiative to initiate a constitutional amendment according to Article XIV Section 1. At the latest 45 days before an election  at least 1/10 of the electorate has to sign an initiative in at least 3 of the states  whereas the initiative requires an approval of 75% of the votes cast in 3 of the 4 states in order to be adopted by referendum. As due to financial deficiency no ballot papers could be printed for the submittal together with the elections of 2 March 1999 and therefore President Nera postponed the popular vote to July.      Initiative Text (Chapter I art.2):   'Each State has the sovereign ownership over the natural resources within its boundaries  pursuant to each state's constitution  including the exclusive economic zone surrounding its islands.' ,"State organisation | Federalism | Territoral questions",0,0,0,0,no,
684,Country,Micronesia  Federated States of,fm031999,1999-07-01,Increase of States' shares on national tax revenues from 50% to 70%,,,,,,,,,,,,,,,,Not known,Not known,Not known,Not known,none,,,,,,Popular initiative (to initiate a constitutional amendment),,,,Popular initiative to initiate a constitutional amendment according to Article XIV Section 1. At the latest 45 days before an election  at least 1/10 of the electorate has to sign an initiative in at least 3 of the states  whereas the initiative requires an approval of 75% of the votes cast in 3 of the 4 states in order to be adopted by referendum. As due to financial deficiency no ballot papers could be printed for the submittal together with the elections of 2 March 1999 and therefore President Nera postponed the popular vote to July. The vote was to amend section 5 of article IX ( Legislative ) of the Constitution to increase the States' share of national tax revenues from 50% to 70%.      Initiative Text (Chapter IX Art. 5):   'The single States are awarded 70% instead of 50% of national tax revenues.' ,"State organisation | Federalism | Intergovernmental relations",0,,0,0,no,
685,Country,Micronesia  Federated States of,fm021999,1999-07-01,Distribution of revenues arising from the exclusive economic zone,,,,,,,,,,,,,,,,Not known,Not known,Not known,Not known,none,,,,,,Popular initiative (to initiate a constitutional amendment),,,,Popular initiative to initiate a constitutional amendment according to Article XIV Section 1. At the latest 45 days before an election  at least 1/10 of the electorate has to sign an initiative in at least 3 of the states  whereas the initiative requires an approval of 75% of the votes cast in 3 of the 4 states in order to be adopted by referendum. As due to financial deficiency no ballot papers could be printed for the submittal together with the elections of 2 March 1999 and therefore President Nera postponed the popular vote to July.      Initiative Text (Chapter IX art.23):   'The gross revenue derived from the living resources in the exclusive economic zone shall be divided equally between the national government and the State governments.' ,"State organisation | Federalism | Intergovernmental relations",0,,0,0,no,
686,Country,Micronesia  Federated States of,fm041999,1999-07-01,Convening a Constituent Assembly,,,,,,,,,,,,,,,,Not known,Not known,,,none,,,,,,Mandatory Referendum,,,,According to part XIV article 2  a referendum on the convening of a constituent assembly must take place at least every ten years. Unlike initiatives on concrete measures  this referendum required only a majority of the votes cast in order to pass.      Ballot question:   'Shall there be a convention to reform or amend the Constitution?'  This was the last vote on the convening of a constituent assembly. The election of assembly members was held together with the elections of Congress and the Senate on 6 March 2001.,"State organisation | Political system | Procedure for constitutional reform",0,,0,0,yes,
687,Country,Cook Islands,ck011999-1,1999-06-16,Legislative term - Option B: Five years,Legislaturdauer vier oder fünf Jahre: Legislatur 5 Jahre,,,,,,,,,,10601,,9371,,,35 5%,64 5%,,,linked,Legislative term - Option A: Four years,,Not known,,0,Mandatory Constitutional Referendum,,,,   The turnout was considerably less than the parliamentary elections held at  the same time. In contrast to the vote on the same issue in 1994  only two  options were available. Article 37 par. 7 (added by the Constitutional Amendment  Act 1982) provided for a mandatory popular vote to be held on any amendment of  the legislative term and a necessary approval by 2/3 of the valid votes  cast. As a 2/3 majority was not reached by either of the two options  the vote  failed. ,"State organisation | Institutions | Parliament",88.4,,35,64,no,
688,Country,Cook Islands,ck011999-0,1999-06-16,Legislative term - Option A: Four years,Legislaturdauer vier oder fünf Jahre: Legislatur 4 Jahre,,,,,,,,,,10601,,9371,,,64 5%,35 5%,,,linked,,,Not known,,0,Mandatory Constitutional Referendum,,,,The turnout was considerably less than the parliamentary elections held at the same time. In contrast to the vote on the same issue in 1994  only two options were available. Article 37 par. 7 (added by the Constitutional Amendment Act 1982) provided for a mandatory popular vote to be held on any amendment of the legislative term and a necessary approval by 2/3 of the valid votes cast. As a 2/3 majority was not reached by either of the two options  the vote failed.,"State organisation | Institutions | Parliament",88.4,,64,35,no,
689,Country,Switzerland,454,1999-06-13,Asylum law,Asylgesetz (AsylG),Loi sur l'asile (LAsi),Legge sull'asilo (LAsi),114,59,3,36,5,,None,4646450,68417,2117964,66156,7282,1443137,601389,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),60963,,,BBl 1999 7293,"Refugees | none | none",45.58,2044526,70.59,29.41,yes,
690,Country,Switzerland,455,1999-06-13,Federal decree on urgent measures in  relation to asylum-seekers and foreigners,Bundesbeschluss über dringliche Massnahmen im Asyl- und Ausländerbereich (BMA),Arrêté fédéral sur les mesures d'urgence dans le domaine de l'asile et des étrangers (AMU),Decreto federale concernente misure urgenti nell'ambito dell'asilo e degli stranieri (DMAS),118,60,4,35,7,,None,4646450,68417,2119712,68695,7125,1447984,595908,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees declared urgent),66952,,,BBl 1999 7293,"Refugees | Immigration policy | none",45.62,2043892,70.84,29.16,yes,
691,Country,Switzerland,456,1999-06-13,Federal decree on prescription of heroin  by doctors,Bundesbeschluss über die ärztliche Verschreibung von Heroin,Arrêté fédéral sur la prescription médicale d'héroïne,Decreto federale concernente la prescrizione medica di eroina,125,56,5,31,3,,None,4646450,68417,2125369,45297,6760,1128393,944919,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees declared urgent),50440,,,BBl 1999 7293,"Addictive substances | none | none",45.74,2073312,54.42,45.58,yes,
692,Country,Switzerland,457,1999-06-13,Federal law on disability insurance,Bundesgesetz über die Invalidenversicherung,Loi fédérale sur l'assurance-invalidité (LAI),Legge federale sull'assicurazione per l'invalidità (LAI),92,77,12,35,4,,None,4646450,68417,2120659,63774,7102,620797,1428986,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),77580,,,BBl 1999 7293,"Disability insurance | Persons with disabilities | none",45.64,2049783,30.29,69.71,no,
693,Country,Switzerland,458,1999-06-13,Federal law on insurance for motherhood,Bundesgesetz über die Mutterschaftsversicherung,Loi fédérale sur l'assurance-maternité,Legge federale sull'assicurazione per la maternità,116,58,9,25,10,,None,4646450,68417,2134884,19146,6456,822458,1286824,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),70320,,,BBl 1999 7293,"Maternity insurance | Status of women | none",45.94,2109282,38.99,61.01,no,
694,Country,Ireland,ie011999,1999-06-11,Recognition of the local authorities,Anerkennung lokaler Regierungen,,,,,,,,,,2791415,,1425881,,,1024850,291965,,,none,,,,,,Mandatory Constitutional Referendum,,,,Held at the same time as elections for the European Parliament and local elections. The amendment entered into force on 23 June 1999. With this article  the Constitution guaranteed the existence of local powers and an election every five years. This consitutional provision replaced the system where everything was under the responsibility of the Home Office only.,"State organisation | Institutions | Government, administration",51.08,1316815,77.83,22.17,yes,
695,Country,Moldova  Republic of,md011999,1999-05-23,Assigning more powers to the president,Mehr Kompetenzen für den Präsidenten,,,,,,,,,,2382457,,1389731,,,768905,428706,,,none,,,,,,Presidential plebiscite  consultative,,,,Consultative presidential plebiscite according to article 88 lit. f of the constitution. After the popular vote  the constitutional court has to confirm the legality of the proposal and only then parliament can amend the constitution by a two third majority. The polling stations were opened from 7 am to 9 pm. As the necessary turnout of 60% was not reached  parliament requested the Central Electoral Committee to declare the invalidity of the vote according to article 171 of the electoral law. Furthermore  it opened an investigation against the president  as he scheduled the vote 1) without approval of the parliament and 2) as no popular votes should be held during 120 days before and after an election. On 11 June  parliament amended the law so that the Central Electoral Committee was obliged to declare a vote invalid if the necessary turnout is not reached. Before however  on 5 June  the Central Electoral Commission declared the validity of the vote by 5:4 as according to the wording of article 171 a vote could but did not have to be declared invalid for not reaching the necessary turnout. On 15 June the Supreme Court confirmed the decision of the Committee by 4:1.,"State organisation | Institutions | Government, administration",58.33,1197611,64.2,35.8,yes,
696,Country,Guatemala,gt011998,1999-05-16,Constitutional reform - Nation and social rights,,,,,,,,,,,4080398,,757940,,63495,327854,366591,,,none,,,,,,Mandatory Constitutional Referendum,,,,At the end of 1998 Parliament passed a measure 41:98  submitting the proposed constitutional reforms to a referendum as a single package. Following a complaint however  the Constitutional Court decided on 9 February 1999 that in view of the single-subject rule  the text must be presented in the form of several measures (incidentally  the 1994 reforms were voted on as a whole). The Tribunal Supremo Electoral scheduled the vote on 16 May. With a vote of 15:99 Parliament divided the reforms into four different issues stated on four different ballot slips in four different colors. The 6 971 ballot boxes were open from 7am to 6pm.  By decree 15-99 Parliament divided the submission into four parts. Four differently coloured ballot papers were handed out for the four questions.           Ballot question 1  white ballot paper:        "Ratifica usted las reformas a la Constitución Política de la República de Guatemala  aprobadas por el Congreso de la República en materia de 'Nación y derechos sociales'  contenida en los artículos: - 1. De la persona humana y la Nación - 66. Identidad y espiritualidad de los pueblos indígenas - 70. Leyes específicas - 94. Obligación del Estado  sobre salud y asistencia social - 110. Indemnización - 135. Derechos y deberes cívicos - 143. Idiomas Artículos transitorios: - 13. Se prorroga por 2 años a partir del 2000 la asignación para alfabetización - 30. Integración de la Comisión de Oficialización de Idiomas - 32. Ley específica de comunidades indígenas"  The constitutional reform came into effect en bloc in 1994.,"State organisation | Political system | Constitution",18.58,694445,47.21,52.79,no,
697,Country,Guatemala,gt041999,1999-05-16,Constitutional reform - Judicial power,,,,,,,,,,,4080398,,757940,,,316656,373025,,,none,,,,,,Mandatory Constitutional Referendum,,,,     Ballot question 4  pink ballot paper:   "Ratifica usted las reformas a la constitución Política de la República de Guatemala  aprobadas por el Congreso de la República en materia de 'Organismo Judicial y administración de justicia'  contenida en los artículos: - 203. Independencia del Organismo Judicial y potestad de juzgar - 204. Condiciones esenciales de la administración de la justicia - 205. Garantías del Organismo Judicial - 206. Derecho de antejuicio para jueces y magistrados - 207. Requisitos para ser magistrado del Corte de Apelaciones o juez - 208. Carrera Judicial - 209. Del Consejo de Carrera Judicial y Régimen Disciplinario - 210. Del personal auxiliar y administrativo - 213. Presupuesto y administración del Organismo Judicial - 214. Elección de la Corte Suprema de Justicia - 215. Comisión de Postulación - 216. Requisitos para ser magistrado de la Corte Suprema de Justicia - 217. Magistrados - 219. Tribunales Militares - 222. Magistrados Suplentes - 251. Ministerio Público Artículos transitorios: - Art. 29: Los jueces y magistrados de las Cortes de Apelaciones continuarán en el ejercicio de sus cargos hasta la terminación del mandato. En un plazo de diez años  todos los jueces de paz deberán ser abogados y notarios. - Art. 31: Se determina un plazo de diez años para la transformación del sistema de administración de justicia. - Art. 34: Procedimiento de elección de los magistrados de la Corte Suprema de Justicia que sustituirán a los actuales."  The constitutional reform came into effect en bloc in 1994.,"State organisation | Institutions | Courts",18.58,689681,45.91,54.09,no,
698,Country,Guatemala,gt031998,1999-05-16,Constitutional reform - Executive body,,,,,,,,,,,4080398,,757940,,,294849,392223,,,none,,,,,,Mandatory Constitutional Referendum,,,,               Ballot question 3  green ballot paper:     "Ratifica usted las reformas a la Constitución Política de la República de Guatemala  aprobvadas por el Congreso de la República en materia de 'Organismo Ejecutivo'  contenida en los artículos:     - 182. Presidencia de la República e integración del Organismo Ejecutivo     - 183. Funciones del presidente de la República     - 225. Sistema de Consejos de Desarrollo     - 244. Integración  organización y funciones del Ejército     - 245. Prohibición de grupos armados ilegales     - 246. Cargos y atribuciones del presidente en el Ejército     - 248. Participación del Ejército en situaciones de emergencia o estados de excepción     - 249. Régimen legal del Ejército     - 250. Fuerzas de seguridad civil     Artículo transitorio 33:     La organización de los servicios de seguridad del presidente y vicepresidente de la República se hará el 14 de enero de 2000."     The constitutional reform came into effect en bloc in 1994.            ,"State organisation | Institutions | Government, administration",18.58,687072,42.91,57.09,no,
699,Country,Guatemala,gt021998,1999-05-16,Constitutional reform - Legislature,,,,,,,,,,,4080398,,757940,,,284423,402566,,,none,,,,,,Mandatory Constitutional Referendum,,,,Ballot question 2  azure blue ballot paper:  "Ratifica usted las reformas a la Constitución Política de la República de Guatemala  aprobadas por el Congreso de la República en materia de "Organismo Legislativo"  contenida en los artículos: 157. Potestad legislativa e integración del Congreso 164. Prohibiciones y compatibilidades  166. Interpelación  167. Efectos de la interpelación  171. Otras atribuciones del Congreso  173. Procedimiento consultivo  176. Presentación y discusión. Artículo transitorio 28: Para la elección general de 1999  cada distrito electoral tendrá como mínimo dos diputados."  The constitutional reform came into effect en bloc in 1994.,"State organisation | Political system | Legislative procedure",18.58,686989,41.4,58.6,no,
700,Country,Norfolk Island ,nf011999,1999-05-12,Inclusion of Norfolk Island into the Australian electoral system,,,,,,,,,,None,1110,Not known,964,,,247,691,,,none,,,,,,Parliamentary plebiscite,,,,For the background see February and October 1991. After a visit from an Australian Senator  the Island's legislative assembly concluded a new questioning on 22 March 1999 concerning the requirement of Australian citizenship in order to be eligible to vote on Norfolk Island. Voting was compulsory according to the Referendum Act of 1964. Adoption required a majority of 60% of the votes cast.      Ballot question:   "Do you agree with the Australian Federal Government's proposal to alter the Norfolk Island Act so that (1) people who have been ordinarily resident in the island for 6 (six) months will in future be entitled to enrol on the electoral roll for Legislative Assembly elections; and (2) Australian citizenship will in future be required as a qualification to be elected to the Assembly  and as a qualification for people who in future apply for enrolment on the electoral roll for Assembly elections ." ,"State organisation | Political system | Electoral system",86.85,938,25.62,71.68,no,
701,Country,Venezuela,ve021999,1999-04-25,Question 2: Approval of the presidential decree concerning the convening of the constitutional convention,,,,,,,,,,,11022031,,4119396,Not known,,3382075,527632,,,none,,,,,,Presidential plebiscite,,,,Chávez  who was elected President on 6 December 1998 promised to convene a constitutional convention. He assumed office on 2 February 1999 but the collection of signatures began beforehand  on 9 January. By 15 February 3.5 million signatures had been submitted and the new Parliament considered holding its' own popular vote as well. The Constitutional Court (Corte Suprema de Justicia) determined on 19 January that the vote was legal  since it concerned an issue of national relevance. Moreover  citizens living abroad and those who had been residents for more then 10 years were eligible to vote. The electoral committee (Comisión Nacional Electoral) decided to schedule the popular vote for 25 April  instead of 15 February  as had been planned by President Chávez. On 18 March  the Corte Suprema de Justicia declared the second question of the vote invalid and requested that the CNE reword it. On the day of his inauguration  Chávez signed a decree  which set a popular vote with two questions.      Question 2:  "¿Está usted de acuerdo con las bases propuestas por el Ejecutivo Nacional para la convocatoria a la Asamblea Nacional Constituyente  examinadas y modificadas parcialmente por el Consejo Nacional Electoral en sesión de fecha marzo 24  1999  y publicadas en su texto íntegro  en la Gaceta Oficial de la República de Venezuela Nº. 36.669 de fecha marzo 25  1999?"  11 704 votes were submitted by eligible voters living abroad. The polling stations were open from 6h00 to 16h00. The result refers to 96.11% of the registered voters. 811 polling station records were missing. The rest were not counted. By decree 36669  the President provided for the institution of a constitutional convention with 131 Members in one Chamber. 104 seats had to be elected in the Provinces; 24 seats were allocated by national vote  while three seats were reserved for indigenous people  elected in a traditional procedure.,"State organisation | Political system | Constitution",37.37,3909707,86.5,13.5,yes,
702,Country,Venezuela,ve011999,1999-04-25,Question 1: Convening a Constitutional Convention,,,,,,,,,,,11022031,11704,4129547,Not known,198648,3630666,300233,,,none,,,,,,Presidential plebiscite,,,,Chávez  who was elected President on 6 December 1998 promised to convene a constitutional convention. He assumed office on 2 February 1999 but the collection of signatures began beforehand  on 9 January. By 15 February  3.5 million signatures had been submitted and the new Parliament considered holding its' own popular vote as well. The Constitutional Court (Corte Suprema de Justicia) determined on 19 January that the vote was legal  since it concerned an issue of national relevance. Moreover  citizens living abroad and those who had been residents for more then 10 years were eligible to vote. The electoral committee (Comisión Nacional Electoral) decided to schedule the popular vote for 25 April  instead of 15 February  as had been planned by President Chávez. On 18 March  the Corte Suprema de Justicia declared the second question of the popular vote invalid and requested that the CNE reword it. On the day of his inauguration  Chávez signed a decree  which set a popular vote with two questions:      Question 1: "¿Convoca usted una Asamblea Nacional Constituyente con el propósito de transformar el Estado y crear un nuevo ordenamiento jurídico que permita el funcionamiento efectivo de una Democracia Social y Participativa?"  11 704 votes were submitted by eligible voters living abroad. The polling stations were open from 6h00 to 16h00. The result refers to 96.11% of the registered voters. 811 polling station records were missing. The rest was not counted.,"State organisation | Political system | Procedure for constitutional reform",37.47,3930899,92.36,7.64,yes,
703,Country,Switzerland,453,1999-04-18,Federal decree on a new federal  constitution,Bundesbeschluss über eine neue Bundesverfassung,Arrêté fédéral relatif à une mise à jour de la Constitution fédérale,Dectreto federale su una nuova Costituzione federale,134,14,31,44,0,,None,4643521,68623,1666869,23335,5066,969310,669158,13,10,none,,,0,,0,Constitutional Referendum (Total Revision),0,,,,"Constitution | none | none",35.89,1638468,59.16,40.84,yes,
